peak_name,Lat_d,Lat_min,Lat_s,Long_d,Long_min,Long_s
Ama Dablam,27,51,40,86,51,40
Annapurna I,28,35,44,83,49,21
Annapurna II,28,32,5,84,7,27
Annapurna III,28,35,4,83,59,30
Annapurna IV,28,32,12,84,5,6
Annapurna I East,28,36,46,83,50,13
Annapurna South,28,31,6,83,48,29
Api Main,30,0,19,80,55,54
Baruntse,27,52,17,86,58,58
Baudha,28,22,32,84,40,44
Chamar North,28,33,19,84,56,49
Cheo Himal,28,45,53,84,27,15
Cho Oyu,28,5,39,86,39,39
Chobuje,27,52,56,86,29,30
Churen Himal West,28,43,56,83,12,44
Churen Himal East,28,43,56,83,12,46
Dhaulagiri I,28,41,48,83,29,42
Dhaulagiri II,28,45,47,83,23,26
Dhaulagiri IV,28,44,9,83,19,1
Dorje Lhakpa,28,10,26,85,46,52
Everest,27,59,17,86,55,18
Fang,28,34,41,83,48,12
Ganesh II,28,22,44,85,3,33
Ganesh III,28,20,7,85,7,29
Ganesh IV,28,20,44,85,4,48
Gangapurna,28,36,19,83,57,57
Gaurishankar,27,57,54,86,20,16
Gimmigela Chuli,27,44,26,88,9,40
Gurja Himal,28,40,26,83,16,40
Gyachung Kang,28,5,40,86,45,3
Himalchuli East,28,26,13,84,38,29
Himalchuli North,28,26,57,84,36,23
Hiunchuli,28,30,36,83,51,0
Jannu,27,40,56,88,2,47
Kande Hiunchuli North  I,29,24,41,82,33,37
Kangchenjunga,27,42,10,88,9,0
Kang Guru,28,39,31,84,18,15
Kanjiroba North,29,22,42,82,38,36
Langtang Lirung,28,15,22,85,31,10
Langtang Ri,28,22,56,85,41,11
Lhotse,27,57,43,86,56,12
Lhotse Shar,27,57,30,86,56,44
Makalu II,27,54,56,87,4,50
Makalu,27,53,21,87,5,20
Manaslu,28,33,1,84,33,42
Mardi Himal,28,29,14,83,56,14
Nampa,30,0,15,80,59,49
Nuptse,27,58,1,86,53,22
Peak 29,28,30,12,84,34,7
Pumori,28,0,54,86,49,50
Putha Hiunchuli,28,44,52,83,8,53
Shartse II,27,56,57,86,59,7
Tawoche,27,53,50,86,46,54
Tilicho,28,40,57,83,48,50
Tukuche,28,44,46,83,33,39
Yalung Kang,27,42,18,88,8,19
Kotang,27,33,49,88,4,57
Ganesh I,28,23,30,85,7,44
Leonpo Gang,28,11,44,85,48,7
Langshisa Ri,28,13,1,85,42,59
Jethi Bahurani,29,52,54,81,2,33
Annapurna I Middle,28,36,0,83,50,0
Pisang,28,38,46,84,11,18
Firnkopf,29,54,5,81,27,26
Dhaulagiri V,28,44,2,83,21,50
Kangtega,27,47,33,86,49,10
Kusum Kanguru,27,43,50,86,47,28
Jongsang,27,52,52,88,8,17
Ngojumba Kang II,28,6,23,86,42,31
Himjung,28,45,24,84,25,5
Raksha Urai,30,0,21,81,7,44
Pasang Lhamu Chuli,28,4,24,86,37,1
Tashi Kang,28,51,11,83,37,53
Nangpai Gosum I,28,4,14,86,38,16
Ganesh V,28,19,55,85,9,39
Kwangde,27,48,1,86,38,4
Thulagi,28,31,40,84,31,22
Tengkangpoche,27,48,14,86,35,55
Chako,28,52,50,84,17,19
Himlung Himal,28,46,18,84,25,29
Nilgiri South,28,39,17,83,43,56
Chamlang,27,46,31,86,58,56
Cholatse,27,55,13,86,46,8
Nuptse West II,27,58,6,86,52,54
Jannu East,27,40,56,88,2,49
Saipal,29,53,16,81,29,41
